url1,url2,similarity
https://www.analyticsvidhya.com/blog/2021/09/comprehensive-guide-on-machine-learning/,https://www.bbc.com/news/topics/c404v061z99t,1.0
https://www.investopedia.com/terms/s/seo.asp,https://www.reuters.com/technology/artificial-intelligence/,1.0
https://www.investopedia.com/terms/s/seo.asp,https://www.cnbc.com/artificial-intelligence/,1.0
https://www.investopedia.com/terms/s/seo.asp,https://www.bbc.com/news/topics/c404v061z99t,1.0
https://en.wikipedia.org/wiki/Search_engine_optimization,https://simple.wikipedia.org/wiki/Search_engine_optimization,0.996
https://en.wikipedia.org/wiki/Search_engine_optimization,https://en.wikipedia.org/wiki/Machine_learning,0.806
https://en.wikipedia.org/wiki/Search_engine_optimization,https://simple.wikipedia.org/wiki/Machine_learning,0.808
https://simple.wikipedia.org/wiki/Search_engine_optimization,https://en.wikipedia.org/wiki/Machine_learning,0.821
https://simple.wikipedia.org/wiki/Search_engine_optimization,https://simple.wikipedia.org/wiki/Machine_learning,0.822
https://en.wikipedia.org/wiki/Content_marketing,https://simple.wikipedia.org/wiki/Content_marketing,0.908
https://en.wikipedia.org/wiki/Content_marketing,https://en.wikipedia.org/wiki/Digital_marketing,0.824
https://en.wikipedia.org/wiki/Machine_learning,https://simple.wikipedia.org/wiki/Machine_learning,0.995
https://en.wikipedia.org/wiki/Artificial_intelligence,https://simple.wikipedia.org/wiki/Artificial_intelligence,0.995
https://en.wikipedia.org/wiki/Digital_marketing,https://simple.wikipedia.org/wiki/Digital_marketing,0.98
https://www.reuters.com/technology/artificial-intelligence/,https://www.cnbc.com/artificial-intelligence/,1.0
https://www.reuters.com/technology/artificial-intelligence/,https://www.bbc.com/news/topics/c404v061z99t,1.0
https://www.cnbc.com/artificial-intelligence/,https://www.bbc.com/news/topics/c404v061z99t,1.0
